Stress MPA,True Plastic Strain
1.6017606294e-12,-6.815841920119702e-18
40.6915919441,-6.80336863234654e-18
81.4187008276,-1.6365204875252136e-07
122.181344245,-4.910686486839927e-07
162.979544636,-9.823132016341819e-07
203.813322973,-1.6374608947535398e-06
244.682700355,-2.4565888109033193e-06
285.587697908,-3.4397718098354898e-06
326.528336772,-4.587086434875223e-06
367.504638105,-5.898609397941672e-06
408.516623081,-7.374416069036958e-06
449.564312892,-9.01458328475828e-06
490.647728744,-1.0819187271274462e-05
531.766375172,-1.278577797661105e-05
572.859352743,-1.4616257959437946e-05
613.372360166,-1.3595821903458413e-05
652.36694415,-5.124352285480315e-06
687.854906183,2.0545191702088083e-05
717.480741657,7.496127954657482e-05
741.220224875,0.0001582337647489454
759.201011066,0.00026974410952069084
785.519548564,0.0006398581902219451
799.796001084,0.0010687659328883414
809.043446311,0.001522115617440398
815.923708439,0.0019867852882040717
821.599162449,0.0024571086948843987
826.431530883,0.002931388242615517
830.620785905,0.0034086140527185933
834.258917293,0.003888285741542208
837.4455761,0.004369905133493637
840.290794302,0.0048529384540116
842.890321042,0.005336903672924106
845.284509697,0.005821596468413286
847.493704406,0.006306919334696691
849.542817941,0.006792750785698908
851.471718875,0.007278899030709156
853.307957772,0.007765239278259948
855.063484567,0.008251719461963392
856.751490551,0.008738271986390215
858.379697816,0.009224859210549476
859.951669202,0.009711464505377479
861.473227539,0.010198057740058619
862.952822316,0.010684597997068581
864.396799742,0.011171056075699608
865.807721152,0.011657421336410893
867.187469116,0.012143689458755205
868.538821688,0.012629854096704977
869.864200493,0.013115908886716019
871.165156511,0.013601848767829099
872.442937168,0.014087667836173667
873.698924923,0.014573358864284213
874.934750969,0.015058914123777647
876.15241047,0.015544324605094634
877.354037461,0.01602957995464935
878.541731302,0.016514669036205687
879.717333569,0.016999581847154853
880.882202182,0.01748431108695016
882.037209457,0.017968852065596175
883.182866812,0.01845320193389742
884.319487709,0.018937358845304494
885.447333122,0.01942132133521594
886.566712344,0.019905088018922372
887.678031542,0.02038865744739434
888.781794531,0.02087202794128879
889.878538555,0.02135519765211497
890.968770728,0.021838164750791846
892.052938339,0.022320927579506874
893.131416748,0.022803484732921125
894.204508351,0.02328583507407346
895.272458823,0.02376797766246301
896.33545104,0.024249911790912376
897.3936182,0.02473163693273493
898.44706675,0.025213152635775397
899.495914174,0.025694458339313653
900.540309259,0.026175553286328465
901.580428944,0.02665643654570567
902.616451276,0.027137107167316328
903.648536965,0.02761756430450424
904.676818902,0.028097807286589113
905.701403425,0.02857783563007949
906.722378865,0.02905764898610766
907.739815411,0.02953724713020405
908.753775002,0.030016629868804674
909.764321291,0.030495796954452092
910.771519767,0.030974748062076275
911.775436927,0.031453482803717944
912.776137161,0.031932000756383555
913.77367467,0.032410301527536
914.768093562,0.032888384768486094
915.759434107,0.03336625016167617
916.747729193,0.03384389744466059
917.733012224,0.03432132638079803
918.715319555,0.03479853676609001
919.694691547,0.03527552843359165
920.671166808,0.03575230127931745
921.644786998,0.03622885523879501
922.615587774,0.03670519032509598
923.583611694,0.03718130654762677
924.548897359,0.03765720395353168
925.511481882,0.03813288260608676
926.471396855,0.038608342594161155
927.428674121,0.03908358399325593
928.383339388,0.03955860689367791
929.335405743,0.04003341143153906
930.28488935,0.04050799773025801
931.231795026,0.040982365987137385
932.176131316,0.041456516416916334
933.117899239,0.041930449330058794
934.05710552,0.04240416505394841
934.993757073,0.0428776639536646
935.927861873,0.043350946398372
936.859424662,0.04382401275849236
937.78845224,0.0442968633687902
938.714952685,0.044769498518291845
939.638935315,0.04524191844464718
940.56041053,0.04571412334740193
941.479388702,0.04618611339092096
942.395881779,0.046657888710362916
943.309908362,0.04712944939707647
944.22148775,0.04760079554114016
945.13064673,0.04807192720096945
946.037418416,0.04854284442645701
946.941844339,0.049013547242979356
947.843970843,0.049484035668232625
948.743847154,0.049954309714249426
949.641523358,0.05042436939260285
950.537048627,0.0508942147099553
951.430469779,0.05136384567598594
952.321834819,0.051833262274422975
953.211184526,0.05230246450284286
954.098557692,0.052771452338177136
954.983989617,0.053240225744316576
955.867510284,0.053708784679576974
956.749147878,0.05417712907752497
957.628916966,0.054645258894874794
958.506836162,0.05511317403991981
959.382913241,0.05558087443787569
960.257155382,0.056048360003094225
961.129563029,0.05651563066968608
962.000135094,0.05698268638348095
962.868874687,0.0574495270888451
963.735779057,0.057916152775484626
964.60085114,0.058382563434206225
965.464094325,0.058848759078888944
966.325523456,0.059314739697268325
967.185153977,0.059780505293726756
968.043009454,0.06024605585098578
968.899113352,0.060711391361496655
969.753494564,0.061176511807913364
970.606174924,0.06164141721082745
971.457179739,0.06210610758055209
972.306529919,0.06257058295221068
973.154241526,0.06303484339075588
974.000330021,0.06349888896519776
974.844805027,0.06396271978008833
975.687678109,0.064426335934716
976.528952785,0.06488973757611088
977.368633959,0.06535292485210545
978.20672047,0.06581589794863996
979.04321461,0.06627865703946145
979.878116768,0.06674120230731466
980.711426533,0.06720353393104848
981.543152802,0.06766565202410424
982.37330171,0.06812755669147613
983.201884221,0.06858924798830998
984.028916382,0.06905072592382228
984.854412534,0.06951199050838891
985.678391047,0.06997304174344153
986.500870923,0.07043387964872247
987.321873094,0.0708945042749615
988.141410565,0.07135491574601945
988.959504886,0.07181511418969641
989.776173455,0.07227509978506007
