Stress MPA,True Plastic Strain
1.6017606294e-06,-6.815841880324238e-18
40691591.3406,-6.830473686658678e-18
81418700.8125,-1.636499616652909e-07
122181344.212,-4.910654736874857e-07
161260616.221,7.487178096319625e-06
182164311.398,0.00010517686996783823
190410893.874,0.00026559556154155694
195478451.415,0.0004418351953523229
199213412.427,0.0006246391031236924
202236622.393,0.000810654626248927
204806327.992,0.0009986787146646654
207055907.429,0.0011881729140507274
209131101.196,0.0013783763995413648
211069792.741,0.00156910675541793
212883637.471,0.0017603415222138933
214599670.15,0.0019519545706342908
216244993.938,0.002143846555074218
217835064.005,0.0023359774975743406
219371767.109,0.0025283410803266216
220873385.749,0.002720829363838323
222344913.579,0.00291343470100926
225895956.009,0.0033954140096511915
229288621.926,0.00387799185408249
232551792.747,0.004360974649305702
235700825.798,0.00484417153184912
238753380.02,0.0053274558926557055
241726852.893,0.005810852834002175
244624895.261,0.006294361038688647
247450843.169,0.006777968446593852
250208670.791,0.007261646484318025
252899600.423,0.007745389886014298
255526398.016,0.008229182821526083
258094167.417,0.008713007365397875
260604622.894,0.009196873499144321
263059377.141,0.009680761094919653
265461234.085,0.010164650845191102
267812075.232,0.010648546764739033
270114136.984,0.011132437753483704
272369602.455,0.011616298624797463
274580675.157,0.01210013308105471
276747967.404,0.012583957209025422
278872637.213,0.013067766557393938
280955676.231,0.013551552789185338
282998440.15,0.014035319143033591
285001963.658,0.014519053890814908
286967104.993,0.015002747757238848
288894965.684,0.015486392446858548
290787027.754,0.015969974969341934
292644584.794,0.016453489542776315
294468605.414,0.01693693932191424
296260158.01,0.017420317008397017
298019952.682,0.017903617864593796
299748554.928,0.01838683101318688
301446642.471,0.01886995239771665
303114850.832,0.019352997866102218
304754326.785,0.019835968302169348
306365779.307,0.0203188553645658
307949364.551,0.02080165655242642
309506192.552,0.021284368874809424
311037263.64,0.02176697658109185
312543092.451,0.022249472720184925
314024301.151,0.02273185115923622
315481487.766,0.023214105439014275
316915207.711,0.023696230733506764
318326188.085,0.024178219238148387
319714838.365,0.02466007178962492
321081520.069,0.025141790073498198
322426470.073,0.02562337584000901
323749793.065,0.026104831665687032
325052292.489,0.026586160138402263
326334580.154,0.02706736190727358
327596980.023,0.027548432792267548
328840010.213,0.02802936959128298
330064108.266,0.028510165956982955
331269504.329,0.028990816731041643
332456579.285,0.02947132009981855
333625531.007,0.029951674782420782
334776670.324,0.030431881531802936
335910498.43,0.03091193859307491
337027480.495,0.03139184391103659
338128008.332,0.03187159385923795
339212547.552,0.032351186108802325
340281365.129,0.03283062447689694
341334774.805,0.03330991800028095
342373185.058,0.03378906340709112
343396824.296,0.034268051477401425
344406107.579,0.03474687574424078
345401349.967,0.03522553675695995
346382634.928,0.03570403980878433
347349850.408,0.036182393520528225
348303812.585,0.03666059151507569
349244647.323,0.03713862647374786
350172362.939,0.0376165013572541
351086996.104,0.038094221720751255
351988602.099,0.038571787138406595
352877496.047,0.03904919503000282
353754254.587,0.03952644129601484
354619058.747,0.0400035245167289
355472030.913,0.04048044597916581
356313565.74,0.0409572044042822
357143980.717,0.04143379388709293
357963595.399,0.04191020947592157
358772539.452,0.04238645253891091
359570951.325,0.04286252639913018
360359284.988,0.04333843031693771
361137933.438,0.04381416312764531
361907109.59,0.04428972946295306
362666475.23,0.04476513525633552
363416094.393,0.045240372707909766
364155930.769,0.04571543686658279
364886427.235,0.04619032580581606
365607590.03,0.04666504289146128
366319438.927,0.04713959685218
367022168.639,0.04761398773992582
367715986.456,0.04808821149573444
368400663.794,0.04856226302418077
369075989.994,0.04903613256606496
369742200.022,0.049509818718355275
370399572.232,0.049983322282994534
371048415.882,0.05045664236202232
371688750.044,0.050929772753383076
372320844.762,0.05140271778338052
372944795.211,0.0518754737002242
373561067.964,0.05234803545714395
374169761.995,0.052820402675083734
374770862.419,0.05329256912998248
375364557.977,0.05376453439260596
375950929.945,0.05423630316080699
376529987.849,0.054707876059350374
377101948.254,0.05517925609310466
377666978.891,0.05565044914623774
378225190.814,0.05612146579079057
378776770.748,0.056592306077507405
379321705.055,0.05706296642752092
379859995.333,0.057533448431431294
380391785.403,0.05800374701874869
380917265.278,0.05847385892722623
381436668.873,0.05894378544510443
381950097.18,0.05941352817824023
382457641.015,0.05988307645269167
382959750.064,0.06035241321974647
383456435.224,0.060821541739635485
383947654.336,0.0612904661489545
384433325.211,0.061759187128535696
384913612.467,0.06222770444589346
385388718.787,0.06269601929316729
385858724.653,0.06316413209678864
386323752.383,0.06363204720216772
386784275.753,0.06409977018938397
387240179.137,0.06456729952855132
387691387.115,0.06503462466429838
388137991.877,0.0655017529138365
388579954.278,0.06596869009253625
389017386.799,0.06643543230956638
389450413.184,0.06690197695816905
389879102.423,0.06736831889357676
390303949.614,0.06783445310863921
390725074.571,0.0683003814038216
391142461.881,0.06876610444580962
391555907.913,0.06923161594859772
391965363.396,0.06969691453834481
392370894.419,0.0701620029669277
392772681.393,0.07062689047975815
393171113.121,0.07109157581579433
393566034.999,0.07155605463311004
393957669.061,0.0720203134993021
394346267.796,0.07248434646837458
394731619.001,0.0729481594278976
395113482.467,0.07341175712921306
395491729.478,0.0738751470064357
395866404.089,0.07433833415840183
396237537.242,0.07480131817224647
396605264.063,0.07526409723947895
