Stress MPA,True Plastic Strain
1.6017606294e-06,0.0
40691591.3406,0.000173151622874
81418700.8125,0.000346290733205
122181344.212,0.000519417282621
161260616.221,0.000693686377597
182164311.398,0.000880325865353
190410893.874,0.00107583556939
195478451.415,0.00127363876912
199213412.427,0.00147233575306
202236622.393,0.00167121569595
204806327.992,0.00187017444384
207055907.429,0.00206924109585
209131101.196,0.00226827498479
211069792.741,0.0024672548973
212883637.471,0.00266620797022
214599670.15,0.00286512311309
216244993.938,0.00306401631018
217835064.005,0.00326291334866
219371767.109,0.00346181593929
220873385.749,0.00366069393861
222344913.579,0.00385956094861
225895956.009,0.00435665071962
229288621.926,0.00485366509971
232551792.747,0.00535053340063
235700825.798,0.00584713010769
238753380.02,0.00634340375449
241726852.893,0.00683945347339
244624895.261,0.00733529348233
247450843.169,0.00783092591679
250208670.791,0.00832633911435
252899600.423,0.0088215330103
255526398.016,0.00931650354421
258094167.417,0.00981125450861
260604622.894,0.0103058031796
263059377.141,0.0108001362917
265461234.085,0.0112942464687
267812075.232,0.0117881457316
270114136.984,0.0122818324967
272369602.455,0.012775290867
274580675.157,0.0132685339213
276747967.404,0.0137615803519
278872637.213,0.0142544306351
280955676.231,0.0147470806536
282998440.15,0.0152395394148
285001963.658,0.0157317995934
286967104.993,0.0162238555661
288894965.684,0.0167157037247
290787027.754,0.0172073373852
292644584.794,0.0176987562702
294468605.414,0.0181899676561
296260158.01,0.0186809687908
298019952.682,0.0191717579583
299748554.928,0.0196623266876
301446642.471,0.0201526738061
303114850.832,0.020642817866
304754326.785,0.0211327646309
306365779.307,0.0216225087763
307949364.551,0.0221120484658
309506192.552,0.0226013854319
311037263.64,0.0230905081806
312543092.451,0.0235794119507
314024301.151,0.0240680932568
315481487.766,0.0245565481844
316915207.711,0.0250447742709
318326188.085,0.0255327668057
319714838.365,0.0260205283679
321081520.069,0.0265080621814
322426470.073,0.0269953710044
323749793.065,0.0274824578589
325052292.489,0.0279693287516
326334580.154,0.028455986935
327596980.023,0.0289424296076
328840010.213,0.029428655772
330064108.266,0.0299146609427
331269504.329,0.0304004409407
332456579.285,0.0308859955731
333625531.007,0.031371324401
334776670.324,0.0318564295
335910498.43,0.0323413112479
337027480.495,0.0328259695689
338128008.332,0.0333104025038
339212547.552,0.033794609705
340281365.129,0.0342785961257
341334774.805,0.0347623721377
342373185.058,0.0352459362073
343396824.296,0.0357292800865
344406107.579,0.0362123990745
345401349.967,0.0366952950613
346382634.928,0.0371779736953
347349850.408,0.0376604431205
348303812.585,0.0381427004328
349244647.323,0.0386247388491
350172362.939,0.0391065613655
351086996.104,0.0395881736932
351988602.099,0.0400695756416
352877496.047,0.0405507659714
353754254.587,0.0410317430368
354619058.747,0.0415125061884
355472030.913,0.041993057234
356313565.74,0.0424733965739
357143980.717,0.0429535196541
357963595.399,0.0434334228827
358772539.452,0.0439131081796
359570951.325,0.044392579457
360359284.988,0.044871837907
361137933.438,0.0453508840372
361907109.59,0.0458297233853
362666475.23,0.0463083604456
363416094.393,0.0467867876907
364155930.769,0.047265000015
364886427.235,0.0477429973765
365607590.03,0.0482207831676
366319438.927,0.0486983662011
367022168.639,0.0491757473575
367715986.456,0.0496529234599
368400663.794,0.0501298884402
369075989.994,0.0506066316428
369742200.022,0.0510831526645
370399572.232,0.0515594534917
371048415.882,0.0520355345424
371688750.044,0.0525113896957
372320844.762,0.052987024427
372944795.211,0.0534624353895
373561067.964,0.0539376195218
374169761.995,0.054412576866
374770862.419,0.0548873011347
375364557.977,0.0553617927018
375950929.945,0.055836056611
376529987.849,0.0563100935276
377101948.254,0.056783907378
377666978.891,0.0572575047601
378225190.814,0.0577308967185
378776770.748,0.0582040840985
379321705.055,0.0586770632632
379859995.333,0.05914983581
380391785.403,0.0596223972804
380917265.278,0.0600947452207
381436668.873,0.0605668819145
381950097.18,0.0610388093974
382457641.015,0.0615105173819
382959750.064,0.0619819907328
383456435.224,0.0624532327567
383947654.336,0.0629242474108
384433325.211,0.0633950350262
384913612.467,0.0638655960709
385388718.787,0.0643359325995
385858724.653,0.0648060453809
386323752.383,0.065275939281
386784275.753,0.0657456218959
387240179.137,0.0662150912037
387691387.115,0.0666843363281
388137991.877,0.0671533649786
388579954.278,0.067622182804
389017386.799,0.0680907863921
389450413.184,0.0685591736627
389879102.423,0.0690273397646
390303949.614,0.0694952817974
390725074.571,0.0699630020714
391142461.881,0.0704305011877
391555907.913,0.0708977719938
391965363.396,0.0713648129062
392370894.419,0.071831626958
392772681.393,0.0722982241623
393171113.121,0.0727646049125
393566034.999,0.0732307642088
393957669.061,0.0736966895636
394346267.796,0.0741623761053
394731619.001,0.0746278288185
395113482.467,0.0750930514324
395491729.478,0.0755580508334
395866404.089,0.0760228323078
396237537.242,0.0764873955744
396605264.063,0.0769517393997
