Stress MPA,True Plastic Strain
1.6017606294e-12,0.0
40.6915919441,0.000173151626453
81.4187008276,0.000346290733205
122.181344245,0.000519417282622
162.979544636,0.000692531306788
203.813322973,0.000865632819758
244.682700355,0.00103872183423
285.587697908,0.00121179836524
326.528336772,0.0013848624262
367.504638105,0.00155791403043
408.516623081,0.00173095319266
449.564312892,0.00190397992623
490.647728744,0.00207699424515
531.766891862,0.00224999616312
572.921823488,0.00242298569447
614.112544881,0.00259596285286
655.339077312,0.00276892765165
696.601442074,0.00294188010514
737.899660478,0.00311482022733
779.233753845,0.0032877480322
820.603743518,0.00346066353308
924.185904245,0.0038928985469
1027.98817193,0.00432505991585
1131.36773258,0.00475755202458
1230.75218904,0.00519262657874
1318.24770676,0.00563525246415
1385.51063842,0.0060906377151
1433.06185391,0.00655836645135
1463.22395581,0.007036944838
1483.80619961,0.00752133078447
1498.56104844,0.00800908960046
1509.5982189,0.00849892892195
1518.31344052,0.00899000015445
1525.38795169,0.00948183403916
1531.39286935,0.0099740549793
1536.67343706,0.0104664633342
1541.3736064,0.0109590003429
1545.56004163,0.0114516535982
1549.32616166,0.0119443721669
1552.72913228,0.0124371027458
1555.79726112,0.0129297986823
1558.55758221,0.0134224332292
1561.0386971,0.0139149872564
1563.27544643,0.0144074361183
1565.29623824,0.0148997628772
1567.12940627,0.0153919530554
1568.80508566,0.0158839849881
1570.3519334,0.016375836372
1571.78560443,0.016867495919
1573.11085499,0.0173589617987
1574.33301157,0.0178502319788
1575.4600915,0.0183413018817
1576.50003007,0.0188321662696
1577.46228657,0.0193228188832
1578.35913426,0.0198132531777
1579.20167467,0.0203034646552
1579.99576273,0.0207934527762
1580.74278194,0.0212832199886
1581.44402115,0.0217727672414
1582.10331003,0.0222620911612
1582.72491024,0.0227511869064
1583.31178682,0.0232400507776
1583.86607,0.023728680629
1584.38998445,0.0242170755472
1584.88586646,0.0247052353271
1585.35575478,0.0251931598919
1585.80119716,0.0256808489255
1586.22332091,0.0261683017911
1586.62322646,0.0266555179567
1587.00241152,0.0271424977671
1587.36262855,0.027629242607
1587.70543983,0.0281157543619
1588.03205375,0.0286020349088
1588.3434308,0.0290880858401
1588.64036163,0.0295739084143
1588.9235506,0.0300595035873
1589.19363216,0.0305448721583
1589.4511691,0.031030014958
1589.69661635,0.0315149329924
1589.93037705,0.0319996273085
1590.15293333,0.0324840985904
1590.36493957,0.0329683468565
1590.56720073,0.0334523715413
1590.76059352,0.0339361718198
1590.94595928,0.0344197468949
1591.12404348,0.0349030961202
1591.29545842,0.0353862190022
1591.46066475,0.0358691151707
1591.61998324,0.0363517843399
1591.77362524,0.0368342262975
1591.92172705,0.0373164409136
1592.06440591,0.0377984281228
1592.20178516,0.0382801878986
1592.3340438,0.03876172018
1592.46142597,0.0392430248283
1592.58422447,0.0397241016347
1592.70275526,0.0402049503726
1592.8173392,0.0406855708583
1592.92829396,0.0411659629777
1593.03591587,0.0416461266939
1593.14048002,0.0421260620317
1593.24223353,0.0426057690445
1593.34139468,0.0430852477996
1593.43814283,0.0435644983661
1593.53263879,0.0440435207938
1593.62501152,0.0445223151304
1593.71536931,0.0450008814133
1593.80380169,0.0454792196805
1593.89037551,0.0459573299718
1593.97514674,0.0464352123355
1594.05815596,0.0469128668284
1594.1394268,0.0473902935232
1594.21898441,0.0478674924951
1594.2968384,0.048344463847
1594.37301126,0.0488212076892
1594.44753202,0.0492977241536
1594.52044941,0.0497740133794
1594.59182055,0.0502500755203
1594.6617242,0.0507259107278
1594.73023974,0.051201519162
1594.79744777,0.0516769009844
1594.86343446,0.0521520563527
1594.92827958,0.0526269854296
1594.99206637,0.053101688378
1595.05487082,0.0535761653663
1595.11676746,0.0540504165644
1595.17782975,0.0545244421437
1595.23812037,0.0549982422826
1595.29769932,0.0554718171614
1595.35661988,0.0559451669589
1595.41491956,0.056418291858
1595.47264887,0.0568911920232
1595.52983408,0.0573638676248
1595.58649975,0.0578363188179
1595.64266871,0.0583085457378
1595.69836219,0.0587805484998
1595.75359518,0.0592523271984
1595.80838359,0.0597238819056
1595.862742,0.0601952126721
1595.91667691,0.0606663195357
1595.97019358,0.0611372025163
1596.0232824,0.0616078616303
1596.07593538,0.0620782968829
1596.1281217,0.0625485082841
1596.17982461,0.0630184958281
1596.23100239,0.0634882595232
1596.28162875,0.0639577993675
1596.33167606,0.0644271153598
1596.3811198,0.064896207503
1596.42993788,0.0653650757952
1596.47811337,0.0658337202296
1596.52562753,0.0663021407944
1596.57246544,0.0667703374718
1596.61861614,0.0672383102471
1596.66407917,0.0677060591221
1596.70886348,0.0681735841402
1596.75299401,0.0686408853949
1596.79650499,0.0691079630406
1596.8394534,0.0695748172771
1596.88189376,0.0700414483492
1596.9238877,0.070507856519
1596.9654956,0.0709740420562
1597.00677261,0.0714400052232
1597.0477712,0.0719057462694
1597.08853479,0.0723712654321
1597.12910678,0.072836562925
1597.16951768,0.0733016389474
1597.20979373,0.0737664936792
1597.24995696,0.0742311272819
1597.29002867,0.0746955399007
1597.33002613,0.0751597316682
1597.36995685,0.0756237027225
1597.40983603,0.0760874532029
