Stress MPA,True Plastic Strain
8.9898642592e-14,-1.1276905959307831e-18
14.1607900419,-1.1384122811097797e-18
28.3338456972,-1.6575405854151511e-07
42.5191746901,-4.973439961597015e-07
56.7167847517,-9.948503889479913e-07
70.9246722955,-1.629987558758139e-06
85.0643125513,-1.2955156589243132e-06
98.0657428103,1.5093058092296259e-05
107.203212597,8.598389008025124e-05
112.627023116,0.00020937322930176324
116.157631597,0.00035969515517630794
118.789533961,0.0005229515618287591
120.92744721,0.000693406312377478
122.743487869,0.0008685876821492137
124.317733801,0.0010473218292482637
125.693197502,0.0012289610200867658
126.900109165,0.0014130424144433685
127.964980282,0.0015991611640157563
128.912081397,0.001786950268963761
129.762783929,0.0019760895183864617
130.53512386,0.0021663105617197335
131.243869419,0.002357394966186627
131.90086425,0.002549168571530252
132.515495394,0.002741494092097042
133.095181082,0.002934263619390378
133.645801513,0.0031273920849516626
152.487753985,0.012845643588726356
167.615921892,0.022512332915926758
180.910148765,0.03210671404973229
192.734569098,0.041625905618855014
203.327201372,0.05106846633581242
212.869870239,0.06043365048837769
221.508413368,0.06972116189424866
229.362443623,0.07893103746256733
236.531436709,0.08806356532945135
243.099019245,0.0971192099464099
249.135800385,0.10609855470092609
254.701678557,0.115002266530871
259.847923736,0.12383108044152434
264.618735216,0.13258579445394747
269.052417185,0.141267257011544
273.182357374,0.14987634833886485
277.037697162,0.15841397971479598
280.643904409,0.1668810929839284
284.023354139,0.17527865268345744
287.195925962,0.1836076356911079
