Stress MPA,True Plastic Strain
1.6967371160500001e-13,-2.1266035047947822e-18
14.171348608899999,-2.1412992906588713e-18
28.3549705705,-1.6573027732152057e-07
42.5508736123,-4.972716114902626e-07
56.7590654681,-9.947055370011478e-07
70.9795538776,-1.6581129942947782e-06
85.2123465868,-2.487575345772779e-06
99.4572782059,-3.4807349652871307e-06
113.713191143,-4.621260257128357e-06
127.977357331,-5.8707209838054775e-06
142.24116483199998,-7.107886851110681e-06
156.478028162,-7.958655592372674e-06
170.61014641600002,-7.328562133317781e-06
184.42874149099998,-2.281359721227876e-06
197.467668699,1.3737276327316274e-05
208.997181427,5.0986237398314375e-05
218.39682608500001,0.00011818829117624845
225.591864174,0.00021640063824516142
230.981658281,0.000340022890763232
235.083245149,0.0004818017579234636
238.315951017,0.0006358535217422588
244.21495779699998,0.001051946882064315
248.45941398600002,0.001491662937359829
251.80863566800002,0.0019442272702295269
254.547687202,0.002405516977792168
256.807646633,0.0028735803992345973
258.675097971,0.0033471086080874616
260.224895362,0.0038249790732663835
261.523907782,0.004306199925192951
262.629010038,0.004789934061830493
263.586021212,0.005275511456173939
264.430419788,0.0057624163134738235
265.189072555,0.006250259939960511
265.882129476,0.006738752272855454
266.524680574,0.007227677457689664
267.128052243,0.0077168747022447505
267.700779664,0.008206223853428228
268.249324878,0.008695634747523853
268.77859818300004,0.009185039510268351
269.292343626,0.009674386927991893
269.793426074,0.010163638302617017
270.284048478,0.010652764335882813
270.765917559,0.011141742741221332
271.24036303500003,0.01163055652552738
271.70842774299996,0.012119192684915465
272.17093022,0.012607641301461551
272.628512954,0.013095894844049705
279.283521604,0.020637009001795385
285.246243474,0.028127798354002788
290.524294564,0.03556988585352388
295.157996609,0.04296393076245872
299.219073614,0.050309962919719
302.786689393,0.05760780796335624
305.935866978,0.06485729436656533
308.73252200999997,0.07205833621842106
311.232549856,0.0792109458522867
313.482494739,0.08631524279328082
315.521066496,0.09337144392050847
317.380721564,0.10037982750379133
319.088520463,0.10734071951701454
320.666999401,0.1142545042994754
322.13453036299995,0.12112162359611207
323.50604467799997,0.12794255657628498
324.793753617,0.1347178019701701
326.007639246,0.14144786943165855
327.15584894,0.14813327876171978
328.24518219,0.1547745556860119
328.919531921,0.15903607954944665
329.57348527700003,0.1632795889616119
330.20817375999997,0.16750522997184042
330.824824351,0.17171314367077997
331.424601769,0.17590347047743843
332.008599651,0.18007634923072915
