6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
40	20.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.002	-1.13820052287e-20	-2.08581863261e-20	-2.10964143426e-20	0.999150917106	6.98802181485e-21	7.18654516186e-21	4.23516473627e-21	0.999305202615	229.654264704	3.47524302925	2.63832622762	3.46536159078	-7.8092106558e-05	-3.4723085434	2.63123073869	-3.47284477273	-6.74309886762e-05	230.009235735	3.47071786211	2.6352976936	3.47071791621	-7.79904216308e-05	-3.46832268128	2.63529776827	-3.4683227284	-6.7353584661e-05	0.00199800266267	0.0	0.0	0.0	-0.000849443569057	0.0	0.0	0.0	-0.000695038868564	230.211515288	0.00184897951092
44	22.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0022	-2.11758236814e-21	1.55642304058e-20	4.87043944671e-21	0.999040312567	-1.13290656695e-20	7.8085849825e-21	5.50571415715e-21	0.999220506121	231.712384094	3.46360633486	2.57206773888	3.45268642319	-0.000144034477387	-3.68958772229	2.5644211687	-3.69025324323	-4.3930173314e-05	232.115902094	3.45869916281	2.56888693985	3.45869914075	-0.000143830412059	-3.68502491981	2.56888700727	-3.68502496211	-4.38758461862e-05	0.00219758354349	0.0	0.0	0.0	-0.000960148227821	0.0	0.0	0.0	-0.000779797842323	232.323608661	0.0020476868314
48	24.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0024	1.25996150904e-20	5.90276085118e-21	-1.2758433768e-20	0.99892970844	3.43048343638e-20	-3.1499037726e-21	-1.22819777352e-20	0.999135380256	233.520264714	3.4907130679	2.49493618703	3.47862828978	-6.20581568072e-05	-3.83129677225	2.48681069872	-3.83208572112	-3.56723626193e-05	233.972764744	3.4853689337	2.49162944657	3.48536894421	-6.19631483915e-05	-3.82621884517	2.49162947501	-3.82621895981	-3.56250831557e-05	0.00239712459972	0.0	0.0	0.0	-0.00107086473102	0.0	0.0	0.0	-0.000864993743245	234.184255172	0.00224651576868
52	26.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0026	1.5881867761e-22	-1.18055217024e-20	1.51936534914e-20	0.998819161962	2.75285707858e-20	2.69991751937e-21	2.20228566286e-20	0.999049928811	235.1603635	3.54367946255	2.40487657259	3.530316147	-2.86550260883e-05	-3.93804080929	2.39636125562	-3.93895069512	3.76025852908e-05	235.662274029	3.5378509994	2.40147586235	3.53785101733	-2.86078957637e-05	-3.93247206791	2.40147588858	-3.93247211002	3.75494118772e-05	0.00259662584727	0.0	0.0	0.0	-0.00118153577657	0.0	0.0	0.0	-0.000950522792692	235.876977961	0.00244541001918
56	28.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0028	1.72053567411e-21	4.52103835597e-20	2.14405214774e-20	0.998708807134	2.43521972336e-20	2.30684129229e-20	-2.79520872594e-20	0.998964119149	236.684683302	3.60080604742	2.30959649382	3.58611559737	-4.45115688206e-05	-4.04213408523	2.30076187852	-4.04316746058	4.64713926719e-05	237.23643266	3.59447539021	2.30612533289	3.59447539891	-4.44333120413e-05	-4.03605904228	2.30612531764	-4.03605907793	4.64015494405e-05	0.002796087302	0.0	0.0	0.0	-0.00129202717375	0.0	0.0	0.0	-0.00103641774637	237.45464669	0.00264432772771
60	30.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.003	-1.34995875969e-20	1.99582138197e-20	-1.08526096367e-20	0.998598605339	1.94817577868e-20	-5.29395592034e-21	4.9974943888e-20	0.99887802243	238.109629355	3.65322304936	2.20833806833	3.63719188257	-7.40083379188e-05	-4.14434125964	2.19926260868	-4.14550089619	7.09930630728e-05	238.711612274	3.64638732567	2.20482269648	3.6463873418	-7.38698573108e-05	-4.13774403577	2.20482273042	-4.13774404743	7.08800518363e-05	0.0029955089798	0.0	0.0	0.0	-0.00140237753287	0.0	0.0	0.0	-0.00112260745802	238.933190404	0.00284325947808
64	32.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0032	-2.60992026873e-20	-2.82697246146e-20	6.67038445963e-21	0.998488534013	-4.78573615199e-20	-2.84550130718e-20	1.27054942088e-20	0.998791706588	239.458337337	3.70016448344	2.11232177231	3.68278689089	-4.39849410959e-05	-4.23338958219	2.10303975276	-4.23467496381	8.10621363545e-05	240.110942817	3.69282374051	2.10877123982	3.69282373878	-4.38976795305e-05	-4.22627381628	2.10877125196	-4.22627380748	8.09258816643e-05	0.00319489089652	0.0	0.0	0.0	-0.00151260940402	0.0	0.0	0.0	-0.00120902398704	240.335373448	0.00304219180806
68	34.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0034	3.22931311141e-21	3.94929111657e-20	-9.3173624198e-21	0.998378556196	-2.37169225231e-20	3.32857478491e-21	4.23516473627e-21	0.998705253853	240.754143163	3.74677332356	2.01773368883	3.72802285132	-3.59268575839e-05	-4.30625327377	2.00829302123	-4.30766238801	6.89980720008e-05	241.457772988	3.7389184104	2.01416249155	3.73891839825	-3.58515388171e-05	-4.29863161384	2.01416247315	-4.29863160044	6.88759519565e-05	0.00339423306802	0.0	0.0	0.0	-0.0016227597667	0.0	0.0	0.0	-0.00129558505499	241.68448843	0.00324111278636
72	36.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0036	-2.74756312266e-20	-6.70214819515e-20	2.11758236814e-22	0.998268662069	4.23516473627e-21	-2.0166663334e-20	-4.23516473627e-21	0.998618700221	242.010445117	3.79160410592	1.92827143592	3.77146225206	-1.21420087116e-05	-4.36511523245	1.91870056775	-4.36664581315	4.27098695197e-05	242.765505612	3.78322906754	1.92468684284	3.78322902581	-1.21151889841e-05	-4.35700062703	1.92468681764	-4.35700060092	4.26304732792e-05	0.00359353551013	0.0	0.0	0.0	-0.00173283842868	0.0	0.0	0.0	-0.00138225465295	242.994002795	0.00344001473081
76	38.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0038	-1.09055491959e-20	1.11173074327e-21	-3.02814278643e-20	0.998158832464	-1.8211208366e-20	2.66716116712e-20	-4.74338450462e-20	0.998532074753	243.232263669	3.83265509252	1.84919520208	3.81111623699	-2.3948170331e-06	-4.40901689028	1.83949064487	-4.41066550176	4.90281333424e-05	244.039152303	3.82375912976	1.84559290735	3.82375907609	-2.38925843139e-06	-4.40042797642	1.84559289492	-4.400427921	4.89326248822e-05	0.0037927982387	0.0	0.0	0.0	-0.00184286456828	0.0	0.0	0.0	-0.00146900370479	244.268847456	0.00363889564785
